"","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory"
"1",812635963,"http://vertnet.org/resources/norms.html","urn:catalog:PSM:Herp:Herp-09239. http://ipt.vertnet.org:8080/ipt/resource.do?r=psm_verts.","en","CC0_1_0",2023-03-17,NA,"http://portal.vertnet.org/o/psm/bird?id=Herp-09239","","PhysicalObject","urn:lsid:biocol.org:col:34825","","","PSM","","","PSM","PRESERVED_SPECIMEN","",NA,"","urn:catalog:PSM:Herp:Herp-09239","Herp-09239","","De Lorme, L.; Prince, E. C.; Slater, J. R.",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,"requires verification","PRESENT","",NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1958-07-26","",207,207,1958,7,26,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"USA;WASHINGTON;LEWIS","NORTH_AMERICA",NA,NA,NA,"US","Washington","Lewis",NA,"Rainbow Falls State Park","USA | Washington | Lewis",NA,NA,NA,NA,NA,"","",46.6287,-123.231003,621,NA,NA,"decimal degrees",NA,"",NA,NA,"GW Shugart (PSM)","1/7/2007","VertNet Georeferencing Guidelines","lat/long from GNIS or calculated from GNIS lat/long using offsets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Rhyacotriton kezeri Good & Wake, 1992",NA,NA,NA,NA,NA,NA,"Animalia | Chordata | AMPHIBIA | CAUDATA | RHYACOTRITONIDAE | Rhyacotriton","Animalia","Chordata","Amphibia","Caudata",NA,"Rhyacotritonidae",NA,NA,NA,"Rhyacotriton","Rhyacotriton",NA,NA,"kezeri",NA,NA,"SPECIES",NA,NA,"ICZN","ACCEPTED",NA,NA,"8eddc200-f535-4c65-9b4d-f723eafe607e","US",2024-01-24 22:05:43.48,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","",TRUE,FALSE,2431179,2431179,1,44,131,953,3104,2431175,NA,2431179,"Rhyacotriton kezeri","Rhyacotriton kezeri Good & Wake, 1992","Rhyacotriton kezeri",NA,"EML",2024-01-24 22:05:43.48,2023-07-31 00:05:30.701,FALSE,NA,NA,FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.21_1","Lewis",NA,NA,"NT"
"2",812634374,"http://vertnet.org/resources/norms.html","urn:catalog:PSM:Herp:Herp-07483. http://ipt.vertnet.org:8080/ipt/resource.do?r=psm_verts.","en","CC0_1_0",2023-03-17,NA,"http://portal.vertnet.org/o/psm/bird?id=Herp-07483","","PhysicalObject","urn:lsid:biocol.org:col:34825","","","PSM","","","PSM","PRESERVED_SPECIMEN","",NA,"","urn:catalog:PSM:Herp:Herp-07483","Herp-07483","","Slater, J. R.",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,"requires verification","PRESENT","",NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"USA;Washington;Wahkiakum","NORTH_AMERICA",NA,NA,NA,"US","Washington","Wahkiakum",NA,"Cathlamet, 7.5 mi NE","USA | Washington | Wahkiakum",NA,NA,NA,NA,NA,"","",46.2799,-123.272598,5494,NA,NA,"decimal degrees",NA,"",NA,NA,"GW Shugart (PSM)","1/7/2007","VertNet Georeferencing Guidelines","lat/long from GNIS or calculated from GNIS lat/long using offsets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Rhyacotriton kezeri Good & Wake, 1992",NA,NA,NA,NA,NA,NA,"Animalia | Chordata | AMPHIBIA | CAUDATA | RHYACOTRITONIDAE | Rhyacotriton","Animalia","Chordata","Amphibia","Caudata",NA,"Rhyacotritonidae",NA,NA,NA,"Rhyacotriton","Rhyacotriton",NA,NA,"kezeri",NA,NA,"SPECIES",NA,NA,"ICZN","ACCEPTED",NA,NA,"8eddc200-f535-4c65-9b4d-f723eafe607e","US",2024-01-24 22:05:23.679,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","",TRUE,FALSE,2431179,2431179,1,44,131,953,3104,2431175,NA,2431179,"Rhyacotriton kezeri","Rhyacotriton kezeri Good & Wake, 1992","Rhyacotriton kezeri",NA,"EML",2024-01-24 22:05:23.679,2023-07-31 00:05:30.701,FALSE,NA,NA,FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.35_1","Wahkiakum",NA,NA,"NT"
"3",812630456,"http://vertnet.org/resources/norms.html","urn:catalog:PSM:Herp:Herp-02420. http://ipt.vertnet.org:8080/ipt/resource.do?r=psm_verts.","en","CC0_1_0",2023-03-17,NA,"http://portal.vertnet.org/o/psm/bird?id=Herp-02420","","PhysicalObject","urn:lsid:biocol.org:col:34825","","","PSM","","","PSM","PRESERVED_SPECIMEN","",NA,"11 eggs, 2419-2420 not individually tagged }","urn:catalog:PSM:Herp:Herp-02420","Herp-02420","","Johnson, M. L.",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,"requires verification","PRESENT","",NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1938-08-07","",219,219,1938,8,7,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"USA;Washington;Wahkiakum","NORTH_AMERICA",NA,NA,NA,"US","Washington","Wahkiakum",NA,"Deep River, 3 mi NW","USA | Washington | Wahkiakum",NA,NA,NA,NA,NA,"","",46.3792,-123.7295,3008,NA,NA,"decimal degrees",NA,"",NA,NA,"GW Shugart (PSM)","1/7/2007","VertNet Georeferencing Guidelines","lat/long from GNIS or calculated from GNIS lat/long using offsets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Rhyacotriton kezeri Good & Wake, 1992",NA,NA,NA,NA,NA,NA,"Animalia | Chordata | AMPHIBIA | CAUDATA | RHYACOTRITONIDAE | Rhyacotriton","Animalia","Chordata","Amphibia","Caudata",NA,"Rhyacotritonidae",NA,NA,NA,"Rhyacotriton","Rhyacotriton",NA,NA,"kezeri",NA,NA,"SPECIES",NA,NA,"ICZN","ACCEPTED",NA,NA,"8eddc200-f535-4c65-9b4d-f723eafe607e","US",2024-01-24 22:05:32.268,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","",TRUE,FALSE,2431179,2431179,1,44,131,953,3104,2431175,NA,2431179,"Rhyacotriton kezeri","Rhyacotriton kezeri Good & Wake, 1992","Rhyacotriton kezeri",NA,"EML",2024-01-24 22:05:32.268,2023-07-31 00:05:30.701,FALSE,NA,NA,FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.25_1","Pacific",NA,NA,"NT"
"4",812630435,"http://vertnet.org/resources/norms.html","urn:catalog:PSM:Herp:Herp-01931. http://ipt.vertnet.org:8080/ipt/resource.do?r=psm_verts.","en","CC0_1_0",2023-03-17,NA,"http://portal.vertnet.org/o/psm/bird?id=Herp-01931","","PhysicalObject","urn:lsid:biocol.org:col:34825","","","PSM","","","PSM","PRESERVED_SPECIMEN","",NA,"","urn:catalog:PSM:Herp:Herp-01931","Herp-01931","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,"requires verification","PRESENT","",NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1937-05-20","",140,140,1937,5,20,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"USA;Washington;Wahkiakum","NORTH_AMERICA",NA,NA,NA,"US","Washington","Wahkiakum",NA,"Grays River Village, 4.4 mi SE","USA | Washington | Wahkiakum",NA,NA,NA,NA,NA,"","",46.311199,-123.544296,3659,NA,NA,"decimal degrees",NA,"",NA,NA,"GW Shugart (PSM)","1/7/2007","VertNet Georeferencing Guidelines","extent half distance to nearest placename, Rosburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Rhyacotriton kezeri Good & Wake, 1992",NA,NA,NA,NA,NA,NA,"Animalia | Chordata | AMPHIBIA | CAUDATA | RHYACOTRITONIDAE | Rhyacotriton","Animalia","Chordata","Amphibia","Caudata",NA,"Rhyacotritonidae",NA,NA,NA,"Rhyacotriton","Rhyacotriton",NA,NA,"kezeri",NA,NA,"SPECIES",NA,NA,"ICZN","ACCEPTED",NA,NA,"8eddc200-f535-4c65-9b4d-f723eafe607e","US",2024-01-24 22:05:38.727,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","",TRUE,FALSE,2431179,2431179,1,44,131,953,3104,2431175,NA,2431179,"Rhyacotriton kezeri","Rhyacotriton kezeri Good & Wake, 1992","Rhyacotriton kezeri",NA,"EML",2024-01-24 22:05:38.727,2023-07-31 00:05:30.701,FALSE,NA,NA,FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.35_1","Wahkiakum",NA,NA,"NT"
"5",812630009,"http://vertnet.org/resources/norms.html","urn:catalog:PSM:Herp:Herp-01844. http://ipt.vertnet.org:8080/ipt/resource.do?r=psm_verts.","en","CC0_1_0",2023-03-17,NA,"http://portal.vertnet.org/o/psm/bird?id=Herp-01844","","PhysicalObject","urn:lsid:biocol.org:col:34825","","","PSM","","","PSM","PRESERVED_SPECIMEN","",NA,"","urn:catalog:PSM:Herp:Herp-01844","Herp-01844","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,"requires verification","PRESENT","",NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1937-03-21","",80,80,1937,3,21,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"USA;Washington;Cowlitz","NORTH_AMERICA",NA,NA,NA,"US","Washington","Cowlitz",NA,"Oak Point, 1 mi E","USA | Washington | Cowlitz",NA,NA,NA,NA,NA,"","",46.190899,-123.1679,2846,NA,NA,"decimal degrees",NA,"",NA,NA,"GW Shugart (PSM)","1/7/2007","VertNet Georeferencing Guidelines","extent half distance to nearest placename, Abernathy Point",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Rhyacotriton kezeri Good & Wake, 1992",NA,NA,NA,NA,NA,NA,"Animalia | Chordata | AMPHIBIA | CAUDATA | RHYACOTRITONIDAE | Rhyacotriton","Animalia","Chordata","Amphibia","Caudata",NA,"Rhyacotritonidae",NA,NA,NA,"Rhyacotriton","Rhyacotriton",NA,NA,"kezeri",NA,NA,"SPECIES",NA,NA,"ICZN","ACCEPTED",NA,NA,"8eddc200-f535-4c65-9b4d-f723eafe607e","US",2024-01-24 22:05:38.628,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","",TRUE,FALSE,2431179,2431179,1,44,131,953,3104,2431175,NA,2431179,"Rhyacotriton kezeri","Rhyacotriton kezeri Good & Wake, 1992","Rhyacotriton kezeri",NA,"EML",2024-01-24 22:05:38.628,2023-07-31 00:05:30.701,FALSE,NA,NA,FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.38_1","Oregon","USA.38.26_1","Multnomah",NA,NA,"NT"
"6",812629593,"http://vertnet.org/resources/norms.html","urn:catalog:PSM:Herp:Herp-01416. http://ipt.vertnet.org:8080/ipt/resource.do?r=psm_verts.","en","CC0_1_0",2023-03-17,NA,"http://portal.vertnet.org/o/psm/bird?id=Herp-01416","","PhysicalObject","urn:lsid:biocol.org:col:34825","","","PSM","","","PSM","PRESERVED_SPECIMEN","",NA,"3 individuals }","urn:catalog:PSM:Herp:Herp-01416","Herp-01416","","",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,"requires verification","PRESENT","",NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1931-09-26","",269,269,1931,9,26,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"USA;Washington;Pacific","NORTH_AMERICA",NA,NA,NA,"US","Washington","Pacific",NA,"South Bend, 6 mi SW; falls","USA | Washington | Pacific",NA,NA,NA,NA,NA,"","",46.6017,-123.893799,5512,NA,NA,"decimal degrees",NA,"",NA,NA,"GW Shugart (PSM)","1/7/2007","VertNet Georeferencing Guidelines","lat/long from GNIS or calculated from GNIS lat/long using offsets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Rhyacotriton kezeri Good & Wake, 1992",NA,NA,NA,NA,NA,NA,"Animalia | Chordata | AMPHIBIA | CAUDATA | RHYACOTRITONIDAE | Rhyacotriton","Animalia","Chordata","Amphibia","Caudata",NA,"Rhyacotritonidae",NA,NA,NA,"Rhyacotriton","Rhyacotriton",NA,NA,"kezeri",NA,NA,"SPECIES",NA,NA,"ICZN","ACCEPTED",NA,NA,"8eddc200-f535-4c65-9b4d-f723eafe607e","US",2024-01-24 22:05:37.069,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY","",TRUE,FALSE,2431179,2431179,1,44,131,953,3104,2431175,NA,2431179,"Rhyacotriton kezeri","Rhyacotriton kezeri Good & Wake, 1992","Rhyacotriton kezeri",NA,"EML",2024-01-24 22:05:37.069,2023-07-31 00:05:30.701,FALSE,NA,NA,FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.48_1","Washington","USA.48.25_1","Pacific",NA,NA,"NT"
"7",543710995,"","","","CC0_1_0",2024-01-04 14:21:00,NA,"","","","http://grbio.org/institution/california-academy-sciences","http://grscicoll.org/institutional-collection/herpetology-0","","CAS","SUA","","","PRESERVED_SPECIMEN","",NA,"","urn:catalog:CAS:SUA:4977","4977","","V. Brock and S.G. Jewett, Jr.",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,"","PRESENT","Alcohol",NA,NA,NA,"",NA,"","Wet tag = Big Creek, Clatsop Co., Youngs River.","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1939-08-25","",237,237,1939,8,25,"25 Aug 1939",NA,NA,NA,NA,NA,NA,"",NA,NA,"North America; USA; Oregon; Clatsop Co.","NORTH_AMERICA",NA,NA,NA,"US","Oregon","Clatsop Co.",NA,"Youngs River","Youngs River, Clatsop Co., Ore",NA,NA,NA,NA,NA,"","",46.059108,-123.797263,20476.37,NA,NA,"DD",NA,"",NA,NA,"","","","Topo USA 6.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","M.P. Hayes and M.R. Jennings",NA,1992-03-10,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Rhyacotriton kezeri Good & Wake, 1992",NA,NA,NA,NA,NA,NA,"Animalia; Chordata; Amphibia; Caudata; Rhyacotritonidae","Animalia","Chordata","Amphibia","Caudata",NA,"Rhyacotritonidae",NA,NA,NA,"Rhyacotriton","Rhyacotriton",NA,NA,"kezeri",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"cece4fc2-1fec-4bb5-a335-7252548e3f0b","US",2024-02-26 00:07:42.824,NA,NA,NA,NA,NA,"","StillImage",TRUE,FALSE,2431179,2431179,1,44,131,953,3104,2431175,NA,2431179,"Rhyacotriton kezeri","Rhyacotriton kezeri Good & Wake, 1992","Rhyacotriton kezeri",NA,"EML",2024-02-26 00:07:42.824,2024-02-26 00:01:51.15,FALSE,NA,NA,FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.38_1","Oregon","USA.38.4_1","Clatsop",NA,NA,"NT"
"8",4522663420,"","","","CC_BY_NC_4_0",2024-02-12 21:40:12,NA,"https://www.inaturalist.org/observations/198782632","diomedea_exulans_li","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","Coordinate uncertainty increased to 27126m at the request of the observer",NA,"","https://www.inaturalist.org/observations/198782632","198782632","","diomedea_exulans_li",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,"","PRESENT","",NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-10-08T08:29","08:29:00-07:00",281,281,2022,10,8,"2022/10/08 8:29 AM",NA,NA,NA,NA,NA,NA,"",NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Oregon","",NA,"","Tillamook County, US-OR, US",NA,NA,NA,NA,NA,"","",45.756737,-123.699157,27126,NA,NA,"",NA,"",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449924695,NA,"","","diomedea_exulans_li",NA,2024-02-09 04:55:30,NA,NA,"","27696",NA,NA,NA,NA,NA,NA,"","Rhyacotriton kezeri Good & Wake, 1992",NA,NA,NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Caudata",NA,"Rhyacotritonidae",NA,NA,NA,"Rhyacotriton","Rhyacotriton",NA,NA,"kezeri",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2024-02-23 15:08:18.463,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED","StillImage",TRUE,FALSE,2431179,2431179,1,44,131,953,3104,2431175,NA,2431179,"Rhyacotriton kezeri","Rhyacotriton kezeri Good & Wake, 1992","Rhyacotriton kezeri",NA,"DWC_ARCHIVE",2024-02-23 15:08:18.463,2024-02-23 05:16:29.968,FALSE,NA,NA,FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.38_1","Oregon","USA.38.29_1","Tillamook",NA,NA,"NT"
"9",4519261119,"","","","CC_BY_4_0",2024-02-04 19:07:51,NA,"https://www.inaturalist.org/observations/198359439","Jeff Ward","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","Coordinate uncertainty increased to 27126m to protect threatened taxon",NA,"","https://www.inaturalist.org/observations/198359439","198359439","","Jeff Ward",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,"","PRESENT","",NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-02-03T15:01:12","15:01:12-08:00",34,34,2024,2,3,"2024-02-03 15:01:12-08:00",NA,NA,NA,NA,NA,NA,"",NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Oregon","",NA,"","Oregon, US",NA,NA,NA,NA,NA,"","",45.76244,-123.442862,27126,NA,NA,"",NA,"",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448540298,NA,"","","Max Olson",NA,2024-02-04 04:08:58,NA,NA,"","27696",NA,NA,NA,NA,NA,NA,"","Rhyacotriton kezeri Good & Wake, 1992",NA,NA,NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Caudata",NA,"Rhyacotritonidae",NA,NA,NA,"Rhyacotriton","Rhyacotriton",NA,NA,"kezeri",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2024-02-23 15:02:42.579,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED","StillImage",TRUE,FALSE,2431179,2431179,1,44,131,953,3104,2431175,NA,2431179,"Rhyacotriton kezeri","Rhyacotriton kezeri Good & Wake, 1992","Rhyacotriton kezeri",NA,"DWC_ARCHIVE",2024-02-23 15:02:42.579,2024-02-23 05:16:29.968,FALSE,NA,NA,FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.38_1","Oregon","USA.38.29_1","Tillamook",NA,NA,"NT"
"10",4519260195,"","","","CC_BY_4_0",2024-02-04 12:07:29,NA,"https://www.inaturalist.org/observations/198360688","Jeff Ward","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","Coordinate uncertainty increased to 27126m to protect threatened taxon",NA,"","https://www.inaturalist.org/observations/198360688","198360688","","Jeff Ward",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,"","PRESENT","",NA,NA,NA,"",NA,"","In small stream","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-02-03T16:25","16:25:00-08:00",34,34,2024,2,3,"2024/02/03 4:25 PM",NA,NA,NA,NA,NA,NA,"",NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Oregon","",NA,"","Oregon, US",NA,NA,NA,NA,NA,"","",45.645359,-123.596859,27126,NA,NA,"",NA,"",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448543137,NA,"","","Jeff Ward",NA,2024-02-04 04:23:56,NA,NA,"","27696",NA,NA,NA,NA,NA,NA,"","Rhyacotriton kezeri Good & Wake, 1992",NA,NA,NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Caudata",NA,"Rhyacotritonidae",NA,NA,NA,"Rhyacotriton","Rhyacotriton",NA,NA,"kezeri",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2024-02-23 15:07:40.124,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED","StillImage",TRUE,FALSE,2431179,2431179,1,44,131,953,3104,2431175,NA,2431179,"Rhyacotriton kezeri","Rhyacotriton kezeri Good & Wake, 1992","Rhyacotriton kezeri",NA,"DWC_ARCHIVE",2024-02-23 15:07:40.124,2024-02-23 05:16:29.968,FALSE,NA,NA,FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.38_1","Oregon","USA.38.29_1","Tillamook",NA,NA,"NT"
