Predictor variable,Categorical,Sample average
wc2.1_2.5m_bio_1,false,9.42017642656962
wc2.1_2.5m_bio_10,false,15.130563760415106
wc2.1_2.5m_bio_11,false,4.367589694821937
wc2.1_2.5m_bio_12,false,2180.824786324786
wc2.1_2.5m_bio_13,false,352.14102564102564
wc2.1_2.5m_bio_14,false,34.74786324786325
wc2.1_2.5m_bio_15,false,63.88553409087352
wc2.1_2.5m_bio_16,false,1012.1111111111111
wc2.1_2.5m_bio_17,false,153.96153846153845
wc2.1_2.5m_bio_18,false,168.15811965811966
wc2.1_2.5m_bio_19,false,947.5512820512821
wc2.1_2.5m_bio_2,false,10.364398222703198
wc2.1_2.5m_bio_3,false,46.89067669403859
wc2.1_2.5m_bio_4,false,441.6000732682709
wc2.1_2.5m_bio_5,false,22.499138334877472
wc2.1_2.5m_bio_6,false,0.3568539440464706
wc2.1_2.5m_bio_7,false,22.142284377008423
wc2.1_2.5m_bio_8,false,4.728321514577947
wc2.1_2.5m_bio_9,false,14.756037866967356
